Suhu,Kelembapan
21.236203565420873,87.8709239435191
38.52142919229749,74.25929763527802
31.959818254342153,85.76492590949324
27.959754525911098,82.63791452993541
14.680559213273096,61.85299851677596
14.67983561008608,84.53119645161817
11.742508365045984,26.194475143634364
35.98528437324806,33.718800369340165
28.033450352296263,23.165910223737665
31.242177333881365,42.7731231534285
10.617534828874074,47.20741027826374
39.097295564859834,38.99443222417271
34.97327922401266,78.01162564063506
16.370173320348286,44.97273286855125
15.454749016213018,39.66541567811665
15.502135295603015,57.988725821077395
19.127267288786133,29.864695748233387
25.742692948967136,76.15378865278278
22.958350559263472,25.21854505758396
18.736874205941255,89.08208556203621
28.355586841671386,74.05713385076602
14.184815819561255,33.91009770739207
18.764339456056547,20.386548198652168
20.99085529881075,77.0822999918384
23.682099526511077,69.48001406933321
33.55527884179041,71.03050176286911
15.990213464750791,73.9889242680162
25.42703315240835,25.183125621386324
27.772437065861276,45.09260099809909
11.393512381599932,28.11083416675908
28.22634555704315,80.41723981129155
15.115723710618745,63.63086887792905
11.951547789558386,43.16286173968544
38.466566117599996,24.449084520021653
38.96896099223678,41.76876252009635
34.25192044349383,42.76283254187229
19.13841307520112,71.07243248366449
12.930163420191516,64.62902299486493
30.526990795364707,82.10489198034286
23.20457481218804,53.055044761336454
13.661147045343364,28.37159721568112
24.855307303338105,69.92713510560965
11.031655633456552,73.25495340318282
37.27961206236346,59.28940382986474
17.763399448000506,73.96770259681927
29.87566853061946,54.56569174550735
19.35133228268233,56.59129805673958
25.602040635334326,49.927871285098476
26.40130838029839,21.77933887208666
15.545633665765811,27.552399889531312
