Suhu,Kelembapan,FanCooling,Heater
21.236203565420876,87.8709239435191,6.18101782710438,0.0
38.52142919229749,74.25929763527802,92.60714596148745,0.0
31.959818254342157,85.76492590949324,59.79909127171078,0.0
27.959754525911094,82.63791452993541,39.79877262955547,0.0
14.680559213273096,61.85299851677596,0.0,26.59720393363452
14.67983561008608,84.53119645161817,0.0,26.6008219495696
11.742508365045984,26.194475143634364,0.0,41.28745817477008
35.98528437324806,33.718800369340165,79.92642186624028,0.0
28.033450352296263,23.165910223737665,40.16725176148132,0.0
31.242177333881365,42.7731231534285,56.210886669406825,0.0
10.617534828874074,47.20741027826374,0.0,46.91232585562963
39.09729556485984,38.99443222417271,95.48647782429921,0.0
34.97327922401266,78.01162564063506,74.86639612006329,0.0
16.370173320348286,44.97273286855125,0.0,18.14913339825857
15.454749016213018,39.66541567811665,0.0,22.72625491893491
15.502135295603017,57.9887258210774,0.0,22.489323521984915
19.127267288786133,29.864695748233387,0.0,4.363663556069337
25.742692948967136,76.15378865278278,28.71346474483568,0.0
22.958350559263472,25.21854505758396,14.791752796317361,0.0
18.736874205941252,89.08208556203621,0.0,6.315628970293741
28.355586841671386,74.05713385076602,41.777934208356925,0.0
14.184815819561257,33.91009770739207,0.0,29.075920902193715
18.764339456056547,20.386548198652168,0.0,6.178302719717266
20.99085529881075,77.0822999918384,4.954276494053751,0.0
23.68209952651108,69.48001406933321,18.410497632555405,0.0
33.55527884179041,71.03050176286911,67.77639420895206,0.0
15.990213464750791,73.9889242680162,0.0,20.048932676246043
25.42703315240835,25.183125621386324,27.135165762041744,0.0
27.77243706586128,45.09260099809909,38.8621853293064,0.0
11.393512381599932,28.11083416675908,0.0,43.03243809200034
28.22634555704315,80.41723981129155,41.131727785215745,0.0
15.115723710618743,63.63086887792905,0.0,24.42138144690628
11.951547789558386,43.16286173968544,0.0,40.242261052208065
38.4665661176,24.449084520021653,92.33283058800001,0.0
38.96896099223678,41.76876252009635,94.84480496118391,0.0
34.25192044349383,42.76283254187229,71.25960221746915,0.0
19.13841307520112,71.07243248366449,0.0,4.307934623994392
12.930163420191516,64.62902299486493,0.0,35.34918289904242
30.526990795364707,82.10489198034286,52.63495397682354,0.0
23.20457481218804,53.05504476133645,16.022874060940193,0.0
13.661147045343364,28.37159721568112,0.0,31.69426477328318
24.855307303338105,69.92713510560965,24.276536516690523,0.0
11.031655633456552,73.25495340318282,0.0,44.84172183271724
37.27961206236346,59.28940382986474,86.39806031181732,0.0
17.763399448000506,73.96770259681927,0.0,11.183002759997471
29.87566853061946,54.56569174550735,49.378342653097306,0.0
19.35133228268233,56.59129805673958,0.0,3.243338586588358
25.60204063533433,49.92787128509848,28.01020317667165,0.0
26.40130838029839,21.77933887208666,32.00654190149194,0.0
15.545633665765813,27.552399889531312,0.0,22.271831671170936
